kod ucznia	Imię i nazwisko
D13	Mirek Kolbowicz
D13	Mirek Kolbowicz
D13	Mirek Kolbowicz
D13	Mirek Kolbowicz
D14	Beata Kwiatek
D14	Beata Kwiatek
D14	Beata Kwiatek
D14	Beata Kwiatek
D14	Beata Kwiatek
D14	Beata Kwiatek
D14	Beata Kwiatek
D15	Bazyli Kwieciński
D15	Bazyli Kwieciński
D15	Bazyli Kwieciński
D15	Bazyli Kwieciński
D15	Bazyli Kwieciński
D15	Bazyli Kwieciński
D15	Bazyli Kwieciński
D15	Bazyli Kwieciński
D15	Bazyli Kwieciński
D15	Bazyli Kwieciński
D15	Bazyli Kwieciński
D16	Sylwia Mazur
D16	Sylwia Mazur
D16	Sylwia Mazur
D16	Sylwia Mazur
D16	Sylwia Mazur
D16	Sylwia Mazur
D16	Sylwia Mazur
D16	Sylwia Mazur
D16	Sylwia Mazur
D16	Sylwia Mazur
D16	Sylwia Mazur
D16	Sylwia Mazur
D17	Maria Nowicka
D17	Maria Nowicka
D17	Maria Nowicka
D17	Maria Nowicka
D17	Maria Nowicka
D17	Maria Nowicka
D17	Maria Nowicka
D17	Maria Nowicka
D17	Maria Nowicka
D17	Maria Nowicka
D17	Maria Nowicka
D17	Maria Nowicka
D18	Kazimierz Ojenalek
D18	Kazimierz Ojenalek
D18	Kazimierz Ojenalek
D18	Kazimierz Ojenalek
D18	Kazimierz Ojenalek
D18	Kazimierz Ojenalek
D18	Kazimierz Ojenalek
D18	Kazimierz Ojenalek
D18	Kazimierz Ojenalek
D18	Kazimierz Ojenalek
D19	Jan Pomazańczyk
D19	Jan Pomazańczyk
D19	Jan Pomazańczyk
D19	Jan Pomazańczyk
D19	Jan Pomazańczyk
D19	Jan Pomazańczyk
D19	Jan Pomazańczyk
D19	Jan Pomazańczyk
D19	Jan Pomazańczyk
D19	Jan Pomazańczyk
D19	Jan Pomazańczyk
D2	Wiesława Ciechan
D2	Wiesława Ciechan
D2	Wiesława Ciechan
D2	Wiesława Ciechan
D2	Wiesława Ciechan
D2	Wiesława Ciechan
D2	Wiesława Ciechan
D2	Wiesława Ciechan
D2	Wiesława Ciechan
D2	Wiesława Ciechan
D2	Wiesława Ciechan
D20	Maria Prus
D20	Maria Prus
D20	Maria Prus
D20	Maria Prus
D20	Maria Prus
D20	Maria Prus
D20	Maria Prus
D20	Maria Prus
D20	Maria Prus
D20	Maria Prus
D21	Eliza Pszczółka
D21	Eliza Pszczółka
D21	Eliza Pszczółka
D21	Eliza Pszczółka
D21	Eliza Pszczółka
D21	Eliza Pszczółka
D21	Eliza Pszczółka
D21	Eliza Pszczółka
D21	Eliza Pszczółka
D21	Eliza Pszczółka
D21	Eliza Pszczółka
D21	Eliza Pszczółka
D22	Adela Rybak
D22	Adela Rybak
D22	Adela Rybak
D22	Adela Rybak
D22	Adela Rybak
D22	Adela Rybak
D22	Adela Rybak
D22	Adela Rybak
D22	Adela Rybak
D22	Adela Rybak
D22	Adela Rybak
D22	Adela Rybak
D23	Tamara Siwek
D23	Tamara Siwek
D23	Tamara Siwek
D23	Tamara Siwek
D23	Tamara Siwek
D23	Tamara Siwek
D23	Tamara Siwek
D24	Klemens Słowiński
D24	Klemens Słowiński
D24	Klemens Słowiński
D24	Klemens Słowiński
D24	Klemens Słowiński
D24	Klemens Słowiński
D24	Klemens Słowiński
D24	Klemens Słowiński
D24	Klemens Słowiński
D24	Klemens Słowiński
D25	Kazimierz Winny
D25	Kazimierz Winny
D25	Kazimierz Winny
D25	Kazimierz Winny
D25	Kazimierz Winny
D25	Kazimierz Winny
D25	Kazimierz Winny
D25	Kazimierz Winny
D25	Kazimierz Winny
D25	Kazimierz Winny
D25	Kazimierz Winny
D25	Kazimierz Winny
D26	Mariusz Wiśniewski
D26	Mariusz Wiśniewski
D26	Mariusz Wiśniewski
D26	Mariusz Wiśniewski
D26	Mariusz Wiśniewski
D26	Mariusz Wiśniewski
D26	Mariusz Wiśniewski
D26	Mariusz Wiśniewski
D26	Mariusz Wiśniewski
D26	Mariusz Wiśniewski
D26	Mariusz Wiśniewski
D27	Lesław Wolski
D27	Lesław Wolski
D27	Lesław Wolski
D27	Lesław Wolski
D27	Lesław Wolski
D27	Lesław Wolski
D27	Lesław Wolski
D27	Lesław Wolski
D27	Lesław Wolski
D28	Dagmara Ziarno
D28	Dagmara Ziarno
D28	Dagmara Ziarno
D28	Dagmara Ziarno
D28	Dagmara Ziarno
D29	Elwira Zimkiewicz
D29	Elwira Zimkiewicz
D29	Elwira Zimkiewicz
D29	Elwira Zimkiewicz
D29	Elwira Zimkiewicz
D29	Elwira Zimkiewicz
D29	Elwira Zimkiewicz
D3	Mariusz Ciechanowicz
D3	Mariusz Ciechanowicz
D3	Mariusz Ciechanowicz
D3	Mariusz Ciechanowicz
D3	Mariusz Ciechanowicz
D3	Mariusz Ciechanowicz
D3	Mariusz Ciechanowicz
D3	Mariusz Ciechanowicz
D3	Mariusz Ciechanowicz
D3	Mariusz Ciechanowicz
D3	Mariusz Ciechanowicz
D4	Kamil Dumowicz
D4	Kamil Dumowicz
D4	Kamil Dumowicz
D4	Kamil Dumowicz
D4	Kamil Dumowicz
D4	Kamil Dumowicz
D4	Kamil Dumowicz
D4	Kamil Dumowicz
D4	Kamil Dumowicz
D4	Kamil Dumowicz
D5	Lesław Gadkowicz
D5	Lesław Gadkowicz
D5	Lesław Gadkowicz
D5	Lesław Gadkowicz
D5	Lesław Gadkowicz
D5	Lesław Gadkowicz
D5	Lesław Gadkowicz
D5	Lesław Gadkowicz
D5	Lesław Gadkowicz
D5	Lesław Gadkowicz
D5	Lesław Gadkowicz
D5	Lesław Gadkowicz
D5	Lesław Gadkowicz
D5	Lesław Gadkowicz
D5	Lesław Gadkowicz
D6	Wanda Jabłońska
D6	Wanda Jabłońska
D6	Wanda Jabłońska
D6	Wanda Jabłońska
D6	Wanda Jabłońska
D6	Wanda Jabłońska
D6	Wanda Jabłońska
D6	Wanda Jabłońska
D6	Wanda Jabłońska
D6	Wanda Jabłońska
D7	Lidia Jankowicz
D7	Lidia Jankowicz
D7	Lidia Jankowicz
D7	Lidia Jankowicz
D7	Lidia Jankowicz
D7	Lidia Jankowicz
D8	Wiesław Kajakowicz
D8	Wiesław Kajakowicz
D8	Wiesław Kajakowicz
D8	Wiesław Kajakowicz
D8	Wiesław Kajakowicz
D8	Wiesław Kajakowicz
D8	Wiesław Kajakowicz
D8	Wiesław Kajakowicz
D8	Wiesław Kajakowicz
D8	Wiesław Kajakowicz
D8	Wiesław Kajakowicz
D8	Wiesław Kajakowicz
D8	Wiesław Kajakowicz
D8	Wiesław Kajakowicz
D9	Anna Kamas
D9	Anna Kamas
D9	Anna Kamas
D9	Anna Kamas
D9	Anna Kamas
D9	Anna Kamas
D9	Anna Kamas
D9	Anna Kamas
D9	Anna Kamas
D9	Anna Kamas
D9	Anna Kamas
D9	Anna Kamas
D9	Anna Kamas
D9	Anna Kamas
